passed,case,condition,scope,item,field,expected,actual,notes
PASS,Case 1,1600 -25%,dpm_injection,injection-7,velocity_mode,face-normal,face-normal,
PASS,Case 1,1600 -25%,dpm_injection,injection-7,velocity_magnitude_ms,25.666961,25.666961,
PASS,Case 1,1600 -25%,dpm_injection,injection-8,particle_type,inert,inert,
PASS,Case 1,1600 -25%,dpm_injection,injection-8,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 1,1600 -25%,dpm_injection,injection-8,injection_type,surface,surface,
PASS,Case 1,1600 -25%,dpm_injection,injection-8,surface,"[""inlet""]","[""inlet""]",
PASS,Case 1,1600 -25%,dpm_injection,injection-8,mass_flow_kgs,21.9225,21.9225,
PASS,Case 1,1600 -25%,dpm_injection,injection-8,diameter_m,0.001714093,0.001714093,
PASS,Case 1,1600 -25%,dpm_injection,injection-8,velocity_mode,face-normal,face-normal,
PASS,Case 1,1600 -25%,dpm_injection,injection-8,velocity_magnitude_ms,25.666961,25.666961,
PASS,Case 2,1440,materials,inert_particle,water-liquid-dpm,present,present,
PASS,Case 2,1440,boundary_conditions,inlet,phase-1_gas_mass_flow_kgs,64.85,64.85,
PASS,Case 2,1440,boundary_conditions,inlet,phase-2_liquid_mass_flow_kgs,132.76,132.76,
PASS,Case 2,1440,dpm_injection,all,expected_injection_count,9,9,"available=['injection-0', 'injection-1', 'injection-2', 'injection-3', 'injection-4', 'injection-5', 'injection-6', 'injection-7', 'injection-8']"
PASS,Case 2,1440,dpm_injection,injection-0,particle_type,inert,inert,
PASS,Case 2,1440,dpm_injection,injection-0,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 2,1440,dpm_injection,injection-0,injection_type,surface,surface,
PASS,Case 2,1440,dpm_injection,injection-0,surface,"[""inlet""]","[""inlet""]",
PASS,Case 2,1440,dpm_injection,injection-0,mass_flow_kgs,0.215735,0.215735,
PASS,Case 2,1440,dpm_injection,injection-0,diameter_m,5.478028e-06,5.478028e-06,
PASS,Case 2,1440,dpm_injection,injection-0,velocity_mode,face-normal,face-normal,
PASS,Case 2,1440,dpm_injection,injection-0,velocity_magnitude_ms,27.503345,27.503345,
PASS,Case 2,1440,dpm_injection,injection-1,particle_type,inert,inert,
PASS,Case 2,1440,dpm_injection,injection-1,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 2,1440,dpm_injection,injection-1,injection_type,surface,surface,
PASS,Case 2,1440,dpm_injection,injection-1,surface,"[""inlet""]","[""inlet""]",
PASS,Case 2,1440,dpm_injection,injection-1,mass_flow_kgs,0.886173,0.886173,
PASS,Case 2,1440,dpm_injection,injection-1,diameter_m,2.739014e-05,2.739014e-05,
PASS,Case 2,1440,dpm_injection,injection-1,velocity_mode,face-normal,face-normal,
PASS,Case 2,1440,dpm_injection,injection-1,velocity_magnitude_ms,27.503345,27.503345,
PASS,Case 2,1440,dpm_injection,injection-2,particle_type,inert,inert,
PASS,Case 2,1440,dpm_injection,injection-2,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 2,1440,dpm_injection,injection-2,injection_type,surface,surface,
PASS,Case 2,1440,dpm_injection,injection-2,surface,"[""inlet""]","[""inlet""]",
PASS,Case 2,1440,dpm_injection,injection-2,mass_flow_kgs,1.101908,1.101908,
PASS,Case 2,1440,dpm_injection,injection-2,diameter_m,5.478028e-05,5.478028e-05,
PASS,Case 2,1440,dpm_injection,injection-2,velocity_mode,face-normal,face-normal,
PASS,Case 2,1440,dpm_injection,injection-2,velocity_magnitude_ms,27.503345,27.503345,
PASS,Case 2,1440,dpm_injection,injection-3,particle_type,inert,inert,
PASS,Case 2,1440,dpm_injection,injection-3,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 2,1440,dpm_injection,injection-3,injection_type,surface,surface,
PASS,Case 2,1440,dpm_injection,injection-3,surface,"[""inlet""]","[""inlet""]",
PASS,Case 2,1440,dpm_injection,injection-3,mass_flow_kgs,2.217092,2.217092,
PASS,Case 2,1440,dpm_injection,injection-3,diameter_m,0.0001095606,0.0001095606,
PASS,Case 2,1440,dpm_injection,injection-3,velocity_mode,face-normal,face-normal,
PASS,Case 2,1440,dpm_injection,injection-3,velocity_magnitude_ms,27.503345,27.503345,
PASS,Case 2,1440,dpm_injection,injection-4,particle_type,inert,inert,
PASS,Case 2,1440,dpm_injection,injection-4,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 2,1440,dpm_injection,injection-4,injection_type,surface,surface,
PASS,Case 2,1440,dpm_injection,injection-4,surface,"[""inlet""]","[""inlet""]",
PASS,Case 2,1440,dpm_injection,injection-4,mass_flow_kgs,2.217092,2.217092,
PASS,Case 2,1440,dpm_injection,injection-4,diameter_m,0.0001643408,0.0001643408,
PASS,Case 2,1440,dpm_injection,injection-4,velocity_mode,face-normal,face-normal,
PASS,Case 2,1440,dpm_injection,injection-4,velocity_magnitude_ms,27.503345,27.503345,
PASS,Case 2,1440,dpm_injection,injection-5,particle_type,inert,inert,
PASS,Case 2,1440,dpm_injection,injection-5,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 2,1440,dpm_injection,injection-5,injection_type,surface,surface,
PASS,Case 2,1440,dpm_injection,injection-5,surface,"[""inlet""]","[""inlet""]",
PASS,Case 2,1440,dpm_injection,injection-5,mass_flow_kgs,26.552,26.552,
PASS,Case 2,1440,dpm_injection,injection-5,diameter_m,0.0003396377,0.0003396377,
PASS,Case 2,1440,dpm_injection,injection-5,velocity_mode,face-normal,face-normal,
PASS,Case 2,1440,dpm_injection,injection-5,velocity_magnitude_ms,27.503345,27.503345,
PASS,Case 2,1440,dpm_injection,injection-6,particle_type,inert,inert,
PASS,Case 2,1440,dpm_injection,injection-6,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 2,1440,dpm_injection,injection-6,injection_type,surface,surface,
PASS,Case 2,1440,dpm_injection,injection-6,surface,"[""inlet""]","[""inlet""]",
PASS,Case 2,1440,dpm_injection,injection-6,mass_flow_kgs,33.19,33.19,
PASS,Case 2,1440,dpm_injection,injection-6,diameter_m,0.0005478028,0.0005478028,
PASS,Case 2,1440,dpm_injection,injection-6,velocity_mode,face-normal,face-normal,
PASS,Case 2,1440,dpm_injection,injection-6,velocity_magnitude_ms,27.503345,27.503345,
PASS,Case 2,1440,dpm_injection,injection-7,particle_type,inert,inert,
PASS,Case 2,1440,dpm_injection,injection-7,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 2,1440,dpm_injection,injection-7,injection_type,surface,surface,
PASS,Case 2,1440,dpm_injection,injection-7,surface,"[""inlet""]","[""inlet""]",
PASS,Case 2,1440,dpm_injection,injection-7,mass_flow_kgs,33.19,33.19,
PASS,Case 2,1440,dpm_injection,injection-7,diameter_m,0.0008217042,0.0008217042,
PASS,Case 2,1440,dpm_injection,injection-7,velocity_mode,face-normal,face-normal,
PASS,Case 2,1440,dpm_injection,injection-7,velocity_magnitude_ms,27.503345,27.503345,
PASS,Case 2,1440,dpm_injection,injection-8,particle_type,inert,inert,
PASS,Case 2,1440,dpm_injection,injection-8,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 2,1440,dpm_injection,injection-8,injection_type,surface,surface,
PASS,Case 2,1440,dpm_injection,injection-8,surface,"[""inlet""]","[""inlet""]",
PASS,Case 2,1440,dpm_injection,injection-8,mass_flow_kgs,33.19,33.19,
PASS,Case 2,1440,dpm_injection,injection-8,diameter_m,0.001588628,0.001588628,
PASS,Case 2,1440,dpm_injection,injection-8,velocity_mode,face-normal,face-normal,
PASS,Case 2,1440,dpm_injection,injection-8,velocity_magnitude_ms,27.503345,27.503345,
PASS,Case 3,1520,materials,inert_particle,water-liquid-dpm,present,present,
PASS,Case 3,1520,boundary_conditions,inlet,phase-1_gas_mass_flow_kgs,72.77,72.77,
PASS,Case 3,1520,boundary_conditions,inlet,phase-2_liquid_mass_flow_kgs,124.84,124.84,
PASS,Case 3,1520,dpm_injection,all,expected_injection_count,9,9,"available=['injection-0', 'injection-1', 'injection-2', 'injection-3', 'injection-4', 'injection-5', 'injection-6', 'injection-7', 'injection-8']"
PASS,Case 3,1520,dpm_injection,injection-0,particle_type,inert,inert,
PASS,Case 3,1520,dpm_injection,injection-0,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 3,1520,dpm_injection,injection-0,injection_type,surface,surface,
PASS,Case 3,1520,dpm_injection,injection-0,surface,"[""inlet""]","[""inlet""]",
PASS,Case 3,1520,dpm_injection,injection-0,mass_flow_kgs,0.202865,0.202865,
PASS,Case 3,1520,dpm_injection,injection-0,diameter_m,4.825892e-06,4.825892e-06,
PASS,Case 3,1520,dpm_injection,injection-0,velocity_mode,face-normal,face-normal,
PASS,Case 3,1520,dpm_injection,injection-0,velocity_magnitude_ms,30.862273,30.862273,
PASS,Case 3,1520,dpm_injection,injection-1,particle_type,inert,inert,
PASS,Case 3,1520,dpm_injection,injection-1,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 3,1520,dpm_injection,injection-1,injection_type,surface,surface,
PASS,Case 3,1520,dpm_injection,injection-1,surface,"[""inlet""]","[""inlet""]",
PASS,Case 3,1520,dpm_injection,injection-1,mass_flow_kgs,0.833307,0.833307,
PASS,Case 3,1520,dpm_injection,injection-1,diameter_m,2.412946e-05,2.412946e-05,
PASS,Case 3,1520,dpm_injection,injection-1,velocity_mode,face-normal,face-normal,
PASS,Case 3,1520,dpm_injection,injection-1,velocity_magnitude_ms,30.862273,30.862273,
PASS,Case 3,1520,dpm_injection,injection-2,particle_type,inert,inert,
PASS,Case 3,1520,dpm_injection,injection-2,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 3,1520,dpm_injection,injection-2,injection_type,surface,surface,
PASS,Case 3,1520,dpm_injection,injection-2,surface,"[""inlet""]","[""inlet""]",
PASS,Case 3,1520,dpm_injection,injection-2,mass_flow_kgs,1.036172,1.036172,
PASS,Case 3,1520,dpm_injection,injection-2,diameter_m,4.825892e-05,4.825892e-05,
PASS,Case 3,1520,dpm_injection,injection-2,velocity_mode,face-normal,face-normal,
PASS,Case 3,1520,dpm_injection,injection-2,velocity_magnitude_ms,30.862273,30.862273,
PASS,Case 3,1520,dpm_injection,injection-3,particle_type,inert,inert,
PASS,Case 3,1520,dpm_injection,injection-3,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 3,1520,dpm_injection,injection-3,injection_type,surface,surface,
PASS,Case 3,1520,dpm_injection,injection-3,surface,"[""inlet""]","[""inlet""]",
PASS,Case 3,1520,dpm_injection,injection-3,mass_flow_kgs,2.084828,2.084828,
PASS,Case 3,1520,dpm_injection,injection-3,diameter_m,9.651784e-05,9.651784e-05,
PASS,Case 3,1520,dpm_injection,injection-3,velocity_mode,face-normal,face-normal,
PASS,Case 3,1520,dpm_injection,injection-3,velocity_magnitude_ms,30.862273,30.862273,
PASS,Case 3,1520,dpm_injection,injection-4,particle_type,inert,inert,
PASS,Case 3,1520,dpm_injection,injection-4,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 3,1520,dpm_injection,injection-4,injection_type,surface,surface,
PASS,Case 3,1520,dpm_injection,injection-4,surface,"[""inlet""]","[""inlet""]",
PASS,Case 3,1520,dpm_injection,injection-4,mass_flow_kgs,2.084828,2.084828,
PASS,Case 3,1520,dpm_injection,injection-4,diameter_m,0.0001447768,0.0001447768,
PASS,Case 3,1520,dpm_injection,injection-4,velocity_mode,face-normal,face-normal,
PASS,Case 3,1520,dpm_injection,injection-4,velocity_magnitude_ms,30.862273,30.862273,
PASS,Case 3,1520,dpm_injection,injection-5,particle_type,inert,inert,
PASS,Case 3,1520,dpm_injection,injection-5,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 3,1520,dpm_injection,injection-5,injection_type,surface,surface,
PASS,Case 3,1520,dpm_injection,injection-5,surface,"[""inlet""]","[""inlet""]",
PASS,Case 3,1520,dpm_injection,injection-5,mass_flow_kgs,24.968,24.968,
PASS,Case 3,1520,dpm_injection,injection-5,diameter_m,0.0002992053,0.0002992053,
PASS,Case 3,1520,dpm_injection,injection-5,velocity_mode,face-normal,face-normal,
PASS,Case 3,1520,dpm_injection,injection-5,velocity_magnitude_ms,30.862273,30.862273,
PASS,Case 3,1520,dpm_injection,injection-6,particle_type,inert,inert,
PASS,Case 3,1520,dpm_injection,injection-6,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 3,1520,dpm_injection,injection-6,injection_type,surface,surface,
PASS,Case 3,1520,dpm_injection,injection-6,surface,"[""inlet""]","[""inlet""]",
PASS,Case 3,1520,dpm_injection,injection-6,mass_flow_kgs,31.21,31.21,
PASS,Case 3,1520,dpm_injection,injection-6,diameter_m,0.0004825892,0.0004825892,
PASS,Case 3,1520,dpm_injection,injection-6,velocity_mode,face-normal,face-normal,
PASS,Case 3,1520,dpm_injection,injection-6,velocity_magnitude_ms,30.862273,30.862273,
PASS,Case 3,1520,dpm_injection,injection-7,particle_type,inert,inert,
PASS,Case 3,1520,dpm_injection,injection-7,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 3,1520,dpm_injection,injection-7,injection_type,surface,surface,
PASS,Case 3,1520,dpm_injection,injection-7,surface,"[""inlet""]","[""inlet""]",
PASS,Case 3,1520,dpm_injection,injection-7,mass_flow_kgs,31.21,31.21,
PASS,Case 3,1520,dpm_injection,injection-7,diameter_m,0.0007238838,0.0007238838,
PASS,Case 3,1520,dpm_injection,injection-7,velocity_mode,face-normal,face-normal,
PASS,Case 3,1520,dpm_injection,injection-7,velocity_magnitude_ms,30.862273,30.862273,
PASS,Case 3,1520,dpm_injection,injection-8,particle_type,inert,inert,
PASS,Case 3,1520,dpm_injection,injection-8,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 3,1520,dpm_injection,injection-8,injection_type,surface,surface,
PASS,Case 3,1520,dpm_injection,injection-8,surface,"[""inlet""]","[""inlet""]",
PASS,Case 3,1520,dpm_injection,injection-8,mass_flow_kgs,31.21,31.21,
PASS,Case 3,1520,dpm_injection,injection-8,diameter_m,0.001399509,0.001399509,
PASS,Case 3,1520,dpm_injection,injection-8,velocity_mode,face-normal,face-normal,
PASS,Case 3,1520,dpm_injection,injection-8,velocity_magnitude_ms,30.862273,30.862273,
PASS,Case 4,1600,materials,inert_particle,water-liquid-dpm,present,present,
PASS,Case 4,1600,boundary_conditions,inlet,phase-1_gas_mass_flow_kgs,80.69,80.69,
PASS,Case 4,1600,boundary_conditions,inlet,phase-2_liquid_mass_flow_kgs,116.92,116.92,
PASS,Case 4,1600,dpm_injection,all,expected_injection_count,9,9,"available=['injection-0', 'injection-1', 'injection-2', 'injection-3', 'injection-4', 'injection-5', 'injection-6', 'injection-7', 'injection-8']"
PASS,Case 4,1600,dpm_injection,injection-0,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-0,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-0,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-0,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-0,mass_flow_kgs,0.189995,0.189995,
PASS,Case 4,1600,dpm_injection,injection-0,diameter_m,4.307482e-06,4.307482e-06,
PASS,Case 4,1600,dpm_injection,injection-0,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-0,velocity_magnitude_ms,34.221202,34.221202,
PASS,Case 4,1600,dpm_injection,injection-1,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-1,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-1,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-1,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-1,mass_flow_kgs,0.780441,0.780441,
PASS,Case 4,1600,dpm_injection,injection-1,diameter_m,2.153741e-05,2.153741e-05,
PASS,Case 4,1600,dpm_injection,injection-1,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-1,velocity_magnitude_ms,34.221202,34.221202,
PASS,Case 4,1600,dpm_injection,injection-2,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-2,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-2,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-2,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-2,mass_flow_kgs,0.970436,0.970436,
PASS,Case 4,1600,dpm_injection,injection-2,diameter_m,4.307482e-05,4.307482e-05,
PASS,Case 4,1600,dpm_injection,injection-2,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-2,velocity_magnitude_ms,34.221202,34.221202,
PASS,Case 4,1600,dpm_injection,injection-3,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-3,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-3,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-3,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-3,mass_flow_kgs,1.952564,1.952564,
PASS,Case 4,1600,dpm_injection,injection-3,diameter_m,8.614965e-05,8.614965e-05,
PASS,Case 4,1600,dpm_injection,injection-3,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-3,velocity_magnitude_ms,34.221202,34.221202,
PASS,Case 4,1600,dpm_injection,injection-4,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-4,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-4,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-4,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-4,mass_flow_kgs,1.952564,1.952564,
PASS,Case 4,1600,dpm_injection,injection-4,diameter_m,0.0001292245,0.0001292245,
PASS,Case 4,1600,dpm_injection,injection-4,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-4,velocity_magnitude_ms,34.221202,34.221202,
PASS,Case 4,1600,dpm_injection,injection-5,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-5,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-5,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-5,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-5,mass_flow_kgs,23.384,23.384,
PASS,Case 4,1600,dpm_injection,injection-5,diameter_m,0.0002670639,0.0002670639,
PASS,Case 4,1600,dpm_injection,injection-5,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-5,velocity_magnitude_ms,34.221202,34.221202,
PASS,Case 4,1600,dpm_injection,injection-6,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-6,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-6,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-6,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-6,mass_flow_kgs,29.23,29.23,
PASS,Case 4,1600,dpm_injection,injection-6,diameter_m,0.0004307482,0.0004307482,
PASS,Case 4,1600,dpm_injection,injection-6,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-6,velocity_magnitude_ms,34.221202,34.221202,
PASS,Case 4,1600,dpm_injection,injection-7,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-7,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-7,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-7,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-7,mass_flow_kgs,29.23,29.23,
PASS,Case 4,1600,dpm_injection,injection-7,diameter_m,0.0006461224,0.0006461224,
PASS,Case 4,1600,dpm_injection,injection-7,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-7,velocity_magnitude_ms,34.221202,34.221202,
PASS,Case 4,1600,dpm_injection,injection-8,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-8,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-8,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-8,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-8,mass_flow_kgs,29.23,29.23,
PASS,Case 4,1600,dpm_injection,injection-8,diameter_m,0.00124917,0.00124917,
PASS,Case 4,1600,dpm_injection,injection-8,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-8,velocity_magnitude_ms,34.221202,34.221202,
PASS,Case 5,1680,materials,inert_particle,water-liquid-dpm,present,present,
PASS,Case 5,1680,boundary_conditions,inlet,phase-1_gas_mass_flow_kgs,88.61,88.61,
PASS,Case 5,1680,boundary_conditions,inlet,phase-2_liquid_mass_flow_kgs,109.0,109.0,
PASS,Case 5,1680,dpm_injection,all,expected_injection_count,9,9,"available=['injection-0', 'injection-1', 'injection-2', 'injection-3', 'injection-4', 'injection-5', 'injection-6', 'injection-7', 'injection-8']"
PASS,Case 5,1680,dpm_injection,injection-0,particle_type,inert,inert,
PASS,Case 5,1680,dpm_injection,injection-0,material,water-liquid-dpm,water-liquid-dpm,
