case,enthalpy_kJkg,injection_name,injection_number,diameter_m,diameter_mm,injected_mass_flow_kgs,velocity_mode,normal_speed_ms,z_velocity_ms_source,escaped_kgs,trapped_kgs,incomplete_kgs,escaped_zone_names,trapped_zone_names,incomplete_zone_names,escaped_zone_ids,trapped_zone_ids,incomplete_zone_ids,escaped_zone_breakdown,trapped_zone_breakdown,incomplete_zone_breakdown,escaped_count,trapped_count,incomplete_count,escaped_fraction,notes
Case 5,1680,injection-4,5,0.0001165777,0.116578,1.8203,face-normal,37.58013,-37.58013,0.03264,0.5063,1.281,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":156.0,""mass_flow_kgs"":0.03264}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2420.0,""mass_flow_kgs"":0.5063}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6124.0,""mass_flow_kgs"":1.281}]",156,2420,6124,0.0179311102566,
Case 5,1680,injection-5,6,0.0002409272,0.240927,21.8,face-normal,37.58013,-37.58013,0,6.247,15.55,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2493.0,""mass_flow_kgs"":6.247}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6207.0,""mass_flow_kgs"":15.55}]",0,2493,6207,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 5,1680,injection-6,7,0.0003885923,0.388592,27.25,face-normal,37.58013,-37.58013,0,7.677,19.57,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2451.0,""mass_flow_kgs"":7.677}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6249.0,""mass_flow_kgs"":19.57}]",0,2451,6249,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 5,1680,injection-7,8,0.0005828885,0.582888,27.25,face-normal,37.58013,-37.58013,0,7.383,19.87,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2357.0,""mass_flow_kgs"":7.383}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6343.0,""mass_flow_kgs"":19.87}]",0,2357,6343,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 5,1680,injection-8,9,0.001126918,1.126918,27.25,face-normal,37.58013,-37.58013,0,6.499,20.75,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2075.0,""mass_flow_kgs"":6.499}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6625.0,""mass_flow_kgs"":20.75}]",0,2075,6625,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 6,1760,injection-0,1,3.53709e-06,0.003537,0.164271,face-normal,40.934817,-40.934817,0.1638,0.000472,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8675.0,""mass_flow_kgs"":0.1638}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":25.0,""mass_flow_kgs"":0.000472}]",,8675,25,0,0.997132786676,incomplete_kgs set to 0; no incomplete fate row in per-injection report
Case 6,1760,injection-1,2,1.768545e-05,0.017685,0.674776,face-normal,40.934817,-40.934817,0.6607,0.01326,0.0008532,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8518.0,""mass_flow_kgs"":0.6607}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":171.0,""mass_flow_kgs"":0.01326}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":11.0,""mass_flow_kgs"":0.0008532}]",8518,171,11,0.979139744152,
Case 6,1760,injection-2,3,3.53709e-05,0.035371,0.839047,face-normal,40.934817,-40.934817,0.6781,0.161,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":7031.0,""mass_flow_kgs"":0.6781}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":1669.0,""mass_flow_kgs"":0.161}]",,7031,1669,0,0.808178802856,incomplete_kgs set to 0; no incomplete fate row in per-injection report
Case 6,1760,injection-3,4,7.074181e-05,0.070742,1.688203,face-normal,40.934817,-40.934817,0.1896,0.4246,1.074,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":977.0,""mass_flow_kgs"":0.1896}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2188.0,""mass_flow_kgs"":0.4246}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5535.0,""mass_flow_kgs"":1.074}]",977,2188,5535,0.112308768554,
Case 6,1760,injection-4,5,0.0001061127,0.106113,1.688203,face-normal,40.934817,-40.934817,0.007762,0.4579,1.222,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":40.0,""mass_flow_kgs"":0.007762}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2360.0,""mass_flow_kgs"":0.4579}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6300.0,""mass_flow_kgs"":1.222}]",40,2360,6300,0.00459778829916,
Case 6,1760,injection-5,6,0.0002192996,0.2193,20.218,face-normal,40.934817,-40.934817,0,5.642,14.58,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2428.0,""mass_flow_kgs"":5.642}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6272.0,""mass_flow_kgs"":14.58}]",0,2428,6272,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 6,1760,injection-6,7,0.000353709,0.353709,25.2725,face-normal,40.934817,-40.934817,0,6.957,18.32,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2395.0,""mass_flow_kgs"":6.957}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6305.0,""mass_flow_kgs"":18.32}]",0,2395,6305,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 6,1760,injection-7,8,0.0005305636,0.530564,25.2725,face-normal,40.934817,-40.934817,0,6.71,18.56,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2310.0,""mass_flow_kgs"":6.71}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6390.0,""mass_flow_kgs"":18.56}]",0,2310,6390,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 6,1760,injection-8,9,0.001025756,1.025756,25.2725,face-normal,40.934817,-40.934817,0,5.862,19.41,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2018.0,""mass_flow_kgs"":5.862}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6682.0,""mass_flow_kgs"":19.41}]",0,2018,6682,0,escaped_kgs set to 0; no escaped fate row in per-injection report
